;noeud 0 : v_pu;noeud 1 : v_pu;noeud 2 : v_pu;noeud 18 : v_pu;noeud 4 : v_pu;noeud 6 : v_pu;noeud 8 : v_pu;noeud 10 : v_pu;noeud 3 : v_pu;noeud 5 : v_pu;noeud 7 : v_pu;noeud 9 : v_pu;noeud 11 : v_pu;noeud 16 : v_pu;noeud 17 : v_pu;noeud 12 : v_pu;noeud 14 : v_pu;noeud 13 : v_pu;noeud 15 : v_pu;line 1 - 2 : i_ka;line 1 - 2 : loading;line 1 - 2 : pl_mw;line 2 - 4 : i_ka;line 2 - 4 : loading;line 2 - 4 : pl_mw;line 2 - 6 : i_ka;line 2 - 6 : loading;line 2 - 6 : pl_mw;line 2 - 8 : i_ka;line 2 - 8 : loading;line 2 - 8 : pl_mw;line 2 - 10 : i_ka;line 2 - 10 : loading;line 2 - 10 : pl_mw;line 2 - 18 : i_ka;line 2 - 18 : loading;line 2 - 18 : pl_mw;line 12 - 17 : i_ka;line 12 - 17 : loading;line 12 - 17 : pl_mw;line 14 - 17 : i_ka;line 14 - 17 : loading;line 14 - 17 : pl_mw;line 16 - 17 : i_ka;line 16 - 17 : loading;line 16 - 17 : pl_mw;load load 11 : p_mw;load load 13 : p_mw;load load 15 : p_mw;sgen None : p_mw;storage Battery 3 : p_mw;storage Battery 3 : SOC;storage EV 5 : p_mw;storage EV 7 : p_mw;Conv_1 : p_mw;Conv_1 : loading;Conv_1 : pl_mw;Conv_2 : p_mw;Conv_2 : loading;Conv_2 : pl_mw;Conv_3 : p_mw;Conv_3 : loading;Conv_3 : pl_mw;Conv_4 : p_mw;Conv_4 : loading;Conv_4 : pl_mw;Conv_5 : p_mw;Conv_5 : loading;Conv_5 : pl_mw;Conv_6 : p_mw;Conv_6 : loading;Conv_6 : pl_mw;Conv_7 : p_mw;Conv_7 : loading;Conv_7 : pl_mw;Conv_8 : p_mw;Conv_8 : loading;Conv_8 : pl_mw;Conv_9 : p_mw;Conv_9 : loading;Conv_9 : pl_mw
19;1.0;1.0;0.9958989421926225;0.992345701875769;0.9957411272215956;0.99566271351956;0.99566271351956;1.0038201110197256;1.0;1.0;1.0;1.0;1.0;0.9909535302889783;1.0;0.9920155201865527;0.9909535302889783;1.0;1.0;0.017976385903862708;32.62036584776424;8.93834145155245e-05;0.00041415689092976307;0.6142939415867105;7.924497980071107e-08;0.00041418950797414634;0.7515978658156708;1.1862886389868692e-07;0.00041418950797414634;0.7515978658156708;1.1862886389868692e-07;0.0026457043539149802;7.778036544964685;2.5409098047818237e-05;0.019379554350898488;44.585010372482856;8.348857229640433e-05;0.02177388055832032;50.09344760793769;0.00010539284671646533;0.007461402461248857;31.213285906049425;4.091930711621651e-05;0.007461402461248857;31.213285906049425;4.091930711621651e-05;0.012222331205953747;0.0038062246513470887;0.0038062246513470887;0.004;0.0;80.0;0.0;0.0;0.02384817965696153;21.795209605367877;-0.002052970051593654;0.0005;0.0;-0.0005;0.0005;0.0;-0.0005;0.0005;0.0;-0.0005;-0.00322;-8.0;-0.0007799999999999999;0.013094327463154507;50.92638002480727;-0.0008719962572007606;0.004482318896626052;27.18731893819349;-0.0006760942452789633;0.004482318896626052;27.18731893819349;-0.0006760942452789633;0.023316612017800525;61.794990881543086;-0.0010704153004450143
20;1.0;1.0;0.9960500116761487;0.9931792459954021;0.995892220665647;0.9958138188753881;0.9958138188753881;0.9948088751129235;1.0;1.0;1.0;1.0;1.0;0.9954677153816124;1.0;0.9919754600082691;0.9954677153816124;1.0;1.0;0.017314194961496443;31.418738840167475;8.291952062575852e-05;0.0004140940108582952;0.6142006753685327;7.92209186210131e-08;0.0004141266115827688;0.751483732568409;1.1859283806619613e-07;0.0004141266115827688;0.751483732568409;1.1859283806619613e-07;0.0004145449340623263;1.2187097329660155;6.238064335549682e-07;0.015657302793408726;36.02152014485658;5.449709636894465e-05;0.021883125688556947;50.34477925244052;0.00010645306551503204;0.003738165349242987;15.637867601431996;1.027080193103649e-05;0.003738165349242987;15.637867601431996;1.027080193103649e-05;0.012287285768309727;0.0016374273985375238;0.0016374273985375238;0.0;0.0;80.0;0.0;0.0;0.023029193193236413;20.992351914861494;-0.002036841278374918;0.0005;0.0;-0.0005;0.0005;0.0;-0.0005;0.0005;0.0;-0.0005;0.0005;0.0;-0.0005;0.013159493720809008;51.19702403462386;-0.0008722079524992807;0.002255871718232833;11.695909989553742;-0.0006184443196953092;0.002255871718232833;11.695909989553742;-0.0006184443196953092;0.01885399508483848;49.439532851810505;-0.001055763258186699
21;1.0;1.0;0.9977673868273764;0.996276330970115;0.9976098674812481;0.9975316007364831;0.9975316007364831;0.9965283916966388;1.0;1.0;1.0;1.0;1.0;0.9970893344708192;1.0;0.9963918952403931;0.9970893344708192;1.0;1.0;0.009786332661034267;17.758505709552335;2.6490620103040638e-05;0.0004133810767717316;0.6131432232296984;7.894836856036768e-08;0.00041341351034239904;0.7501897225559538;1.181847701639191e-07;0.00041341351034239904;0.7501897225559538;1.181847701639191e-07;0.00041382968642909103;1.2166069952879481;6.216556840130723e-07;0.008132294877147958;18.709328650424865;1.4701637099084203e-05;0.009839393913336015;22.636716600487365;2.1521679414933208e-05;0.0024006764668478937;10.042750182263447;4.235986911380746e-06;0.0024006764668478937;10.042750182263447;4.235986911380746e-06;0.0051560251683790215;0.0008845200366160003;0.0008845200366160003;0.0;0.0;80.0;0.0;0.0;0.013570116238814427;11.865298319258976;-0.00170481791955545;0.0005;0.0;-0.0005;0.0005;0.0;-0.0005;0.0005;0.0;-0.0005;0.0005;0.0;-0.0005;0.005943294161509625;21.483438201579254;-0.0007872689931306036;0.0014510968135655919;6.31800026154286;-0.0005665767769495915;0.0014510968135655919;6.31800026154286;-0.0005665767769495915;0.009823169088463951;24.65411511632918;-0.0009476876465854475
22;1.0;1.0;0.9977673868273764;0.996276330970115;0.9976098674812481;0.9975316007364831;0.9975316007364831;0.9965283916966388;1.0;1.0;1.0;1.0;1.0;0.9970893344708192;1.0;0.9963918952403931;0.9970893344708192;1.0;1.0;0.009786332661034267;17.758505709552335;2.6490620103040638e-05;0.0004133810767717316;0.6131432232296984;7.894836856036768e-08;0.00041341351034239904;0.7501897225559538;1.181847701639191e-07;0.00041341351034239904;0.7501897225559538;1.181847701639191e-07;0.00041382968642909103;1.2166069952879481;6.216556840130723e-07;0.008132294877147958;18.709328650424865;1.4701637099084203e-05;0.009839393913336015;22.636716600487365;2.1521679414933208e-05;0.0024006764668478937;10.042750182263447;4.235986911380746e-06;0.0024006764668478937;10.042750182263447;4.235986911380746e-06;0.0051560251683790215;0.0008845200366160003;0.0008845200366160003;0.0;0.0;80.0;0.0;0.0;0.013570116238814427;11.865298319258976;-0.00170481791955545;0.0005;0.0;-0.0005;0.0005;0.0;-0.0005;0.0005;0.0;-0.0005;0.0005;0.0;-0.0005;0.005943294161509625;21.483438201579254;-0.0007872689931306036;0.0014510968135655919;6.31800026154286;-0.0005665767769495915;0.0014510968135655919;6.31800026154286;-0.0005665767769495915;0.009823169088463951;24.65411511632918;-0.0009476876465854475
23;1.0;1.0;0.9977673868273764;0.996276330970115;0.9976098674812481;0.9975316007364831;0.9975316007364831;0.9965283916966388;1.0;1.0;1.0;1.0;1.0;0.9970893344708192;1.0;0.9963918952403931;0.9970893344708192;1.0;1.0;0.009786332661034267;17.758505709552335;2.6490620103040638e-05;0.0004133810767717316;0.6131432232296984;7.894836856036768e-08;0.00041341351034239904;0.7501897225559538;1.181847701639191e-07;0.00041341351034239904;0.7501897225559538;1.181847701639191e-07;0.00041382968642909103;1.2166069952879481;6.216556840130723e-07;0.008132294877147958;18.709328650424865;1.4701637099084203e-05;0.009839393913336015;22.636716600487365;2.1521679414933208e-05;0.0024006764668478937;10.042750182263447;4.235986911380746e-06;0.0024006764668478937;10.042750182263447;4.235986911380746e-06;0.0051560251683790215;0.0008845200366160003;0.0008845200366160003;0.0;0.0;80.0;0.0;0.0;0.013570116238814427;11.865298319258976;-0.00170481791955545;0.0005;0.0;-0.0005;0.0005;0.0;-0.0005;0.0005;0.0;-0.0005;0.0005;0.0;-0.0005;0.005943294161509625;21.483438201579254;-0.0007872689931306036;0.0014510968135655919;6.31800026154286;-0.0005665767769495915;0.0014510968135655919;6.31800026154286;-0.0005665767769495915;0.009823169088463951;24.65411511632918;-0.0009476876465854475
